model_number,model_name
0,all_variables
1,Opted.out.of.facebook; added events manually edited events; added food edited food; added specials edited specials; downloaded qrcode flyers; downloaded regular flyers; preview page views; visited inquiries pages; visited stats page
2,Opted.out.of.facebook; added events manually edited events; added food edited food; added specials edited specials; downloaded regular flyers; other non contactless menu qr flyer scans; preview page views; qr code menu scans; visited inquiries pages; visited stats page
3,Opted.out.of.facebook; other non contactless menu qr flyer scans; qr code menu scans; visited admin
4,Opted.out.of.facebook; added food edited food; added specials edited specials; downloaded qrcode flyers; downloaded regular flyers; preview page views; visited events page; visited inquiries pages; visited stats page
5,Opted.out.of.facebook; added events manually edited events; added specials edited specials; downloaded qrcode flyers; downloaded regular flyers; preview page views; visited food page; visited inquiries pages; visited stats page
6,Opted.out.of.facebook; added events manually edited events; added food edited food; added specials edited specials; preview page views; visited inquiries pages; visited qrcode flyers page; visited stats page
7,Opted.out.of.facebook; added food edited food; added specials edited specials; downloaded qrcode flyers; preview page views; visited events page; visited inquiries pages; visited regular flyers page; visited stats page
8,Opted.out.of.facebook; added events manually edited events; added food edited food; downloaded qrcode flyers; downloaded regular flyers; preview page views; visited inquiries pages; visited special page; visited stats page
9,added events manually edited events; added food edited food; added specials edited specials; changed picture or text; downloaded qrcode flyers; downloaded regular flyers; number of requests for new text fragment; posts disliked; posts liked; visited inquiries pages; visited stats page
10,added events manually edited events; added food edited food; added specials edited specials; downloaded qrcode flyers; downloaded regular flyers; posts on facebook; preview page views; visited inquiries pages; visited stats page
11,added events manually edited events; added food edited food; added specials edited specials; downloaded qrcode flyers; downloaded regular flyers; posts seen; visited inquiries pages; visited stats page
12,added events manually edited events; added food edited food; added specials edited specials; changed picture or text; downloaded regular flyers; number of requests for new text fragment; other non contactless menu qr flyer scans; posts disliked; posts liked; qr code menu scans; visited inquiries pages; visited stats page
13,added food edited food; added specials edited specials; changed picture or text; downloaded qrcode flyers; downloaded regular flyers; number of requests for new text fragment; posts disliked; posts liked; visited events page; visited inquiries pages; visited stats page
14,added events manually edited events; added specials edited specials; changed picture or text; downloaded qrcode flyers; downloaded regular flyers; number of requests for new text fragment; posts disliked; posts liked; visited food page; visited inquiries pages; visited stats page
15,added events manually edited events; added food edited food; added specials edited specials; changed picture or text; number of requests for new text fragment; posts disliked; posts liked; visited inquiries pages; visited qrcode flyers page; visited stats page
16,added food edited food; added specials edited specials; changed picture or text; downloaded qrcode flyers; number of requests for new text fragment; posts disliked; posts liked; visited events page; visited inquiries pages; visited regular flyers page; visited stats page
17,added events manually edited events; added food edited food; changed picture or text; downloaded qrcode flyers; downloaded regular flyers; number of requests for new text fragment; posts disliked; posts liked; visited inquiries pages; visited special page; visited stats page
