model_number,model_name
0,all_variables
1,posts_on_facebook
2,changed_picture_or_text
3,posts_disliked
4,posts_liked
5,posts_seen
6,flyer_posts_on_facebook
7,preview_page_views_facebook
8,preview_page_views_email
9,preview_page_views_twitter
10,number_of_requests_for_new_text_fragment
11,text_fragment_suggestion_applied
12,private_parties_submissions
13,consumer_job_listing_inquiries
14,catering_submissions
15,online_orders
16,reservations_submissions
17,qr_code_menu_scans
18,other_non_contactless_menu_qr_flyer_scans
19,clicked_emails
20,opened_rewarding_stats_emails
21,tickets
22,added_events_manually_edited_events
23,added_food_edited_food
24,added_specials_edited_specials
25,emails_sent_manually_scheduled_emails_sent
26,visited_admin
27,visited_events_page
28,visited_food_page
29,visited_inquiries_pages
30,visited_special_page
31,visited_stats_page
32,downloaded_regular_flyers
33,downloaded_qrcode_flyers
34,visited_regular_flyers_page
35,visited_qrcode_flyers_page
36,properly_used_reservations_inquiries
37,properly_used_catering_inquiries
38,properly_used_private_parties_inquiries
39,properly_used_job_listings_inquiries
40,properly_used_online_orders_inquiries
41,"'Annual Commitment with 2 semi-annual payments', 'Annual Prepay', 'Monthly', 'SpotHopper_site_not_live_yet', 'Website.Views.last.month.total.log2', 'bday_club_downloads', 'feedback_submissions', 'incentive_downloads', 'instagram_New', 'instagram_Old', 'is_corona', 'is_platform_only', 'is_premium_plus', 'payment_method_ACH', 'payment_method_CC', 'payment_method_CHECK', 'slider_balanced', 'slider_increase_revenue', 'slider_save_time', 'their_own_website_dontKnow', 'their_own_website_no', 'year_become_customer_2017.0', 'year_become_customer_2018.0', 'year_become_customer_2019.0', 'year_become_customer_2020.0', 'year_become_customer_2021.0', 'year_become_customer_2022.0', 'year_become_customer_2023.0'"
42,Opted.out.of.facebook
43,Fb.page.likes.analysis.avg.log2
44,New.email.subscriber.signups.last.month.div10
45,New.email.subscribers.allinclusive.last.month.div10
