"variable_name","mean","min","10%","20%","25%","50%","75%","max","period_to_look_at_started","threshold_started","period_to_look_at_stopped","threshold_stopped","internal_variable_name","covid_period_to_look_at_stopped_1","covid_threshold_stopped_1","covid_period_start_1","covid_period_end_1","covid_period_to_look_at_stopped_2","covid_threshold_stopped_2","covid_period_start_2","covid_period_end_2","periods_to_look_at_we_need"
"posts_on_facebook",11.87,0.11,2.29,3.75,4.4,8,14.82,107.33,"last_month",2,"last_2_months",1,"Posts.on.facebook.total",,,,,,,,,"['last_2_months', 'last_month']"
"changed_post_picture",17.78,0.17,1.6,2.64,3.41,8.1,20.44,295.29,"last_3_months",2,"last_4_months",1,"Changed.picture.or.text.total",,,,,,,,,"['last_4_months', 'last_3_months']"
"changed_post_text",17.78,0.17,1.6,2.64,3.41,8.1,20.44,295.29,"last_3_months",2,"last_4_months",1,"Changed.picture.or.text.total",,,,,,,,,"['last_4_months', 'last_3_months']"
"posts_disliked",11.78,0.2,1.43,2.25,2.67,5.65,13.36,197.78,"last_3_months",2,"last_4_months",1,"Posts.disliked.total",,,,,,,,,"['last_4_months', 'last_3_months']"
"posts_liked",27.82,0.28,2,3.24,4.08,12.88,33.16,628.14,"last_3_months",2,"last_4_months",1,"Posts.liked.total",,,,,,,,,"['last_4_months', 'last_3_months']"
"posts_seen",54.26,0.56,5.67,10.54,13,27.91,61.2,1241.57,"last_3_months",6,"last_4_months",3,"Posts.seen.total",,,,,,,,,"['last_4_months', 'last_3_months']"
"flyer_posts_on_facebook",4.58,0.14,1,1.5,2,3.5,5.78,41,"last_2_months",2,"last_3_months",1,"Flyer.posts.on.facebook.total",,,,,,,,,"['last_3_months', 'last_2_months']"
"preview_page_views_facebook",6.51,0.11,1,1.4,1.67,3.33,7.09,155,"last_3_months",2,"last_4_months",1,"Preview.page.views.facebook.total",,,,,,,,,"['last_4_months', 'last_3_months']"
"preview_page_views_email",4.05,0.15,1,1,1,2,4.23,152.41,"last_3_months",1,"last_4_months",0,"Preview.page.views.email.total",,,,,,,,,"['last_4_months', 'last_3_months']"
"preview_page_views_twitter",1.8,0.12,0.68,1,1,1,2,46.92,"last_3_months",1,"last_4_months",0,"Preview.page.views.twitter.total",,,,,,,,,"['last_4_months', 'last_3_months']"
"consumer_job_listing_inquiries",5.01,0.18,1.05,1.56,1.8,3.14,5.5,63,"last_2_months",2,"last_3_months",1,"Consumer.job.listings.inquiry.total",,,,,,,,,"['last_3_months', 'last_2_months']"
"catering_submissions",5.17,0.11,0.74,1.05,1.25,2.25,4.62,544.43,"last_3_months",1,"last_4_months",0,"catering.submissions.total",,,,,,,,,"['last_4_months', 'last_3_months']"
"online_orders",35.38,0.23,1.42,3,4.15,15.92,41,537.75,"last_month",3,"last_2_months",1,"Online.orders.total",,,,,,,,,"['last_2_months', 'last_month']"
"reservations_submissions",33.43,0.15,1.33,2.67,3.67,11.73,36.04,1356.37,"last_month",2,"last_2_months",1,"reservations.submissions.total","last_3_months",0,2020-03-01,2020-05-01,"last_month",0,2020-12-01,2020-12-01,"['last_2_months', 'last_month', 'last_3_months']"
"qr_code_menu_scans",914.93,1,22,48.57,61.75,282.5,1093.89,10574.83,"last_month",23,"last_2_months",11,"QR.code.menu.scans.total",,,,,,,,,"['last_2_months', 'last_month']"
"other_non_contactless_menu_qr_flyer_scans",24.41,0.2,0.85,1.33,1.5,3.38,11.55,933.5,"last_month",1,"last_2_months",0,"QR.code.flyer.scans.total",,,,,,,,,"['last_2_months', 'last_month']"
"clicked_emails",5.95,0.17,1.43,2.13,2.5,4.33,7.5,51.86,"last_3_months",2,"last_4_months",1,"Clicked.emails.total",,,,,,,,,"['last_4_months', 'last_3_months']"
