variable,vars,months,models_all_for_coefs,models_can_cancel_for_coefs,models_by_varname,spots_never_did_customers,spots_customers,Not_Doing,Percent_Not_Doing,Continue,Stopped_Doing,Percent_Who_Quit,c_exp_mean_all,p_exp_mean_all,c_exp_mean_can_cancel,p_exp_mean_can_cancel,c_exp_choosen,p_of_c_exp_choosen,Coef_Continue,Continue_Churn_Improvement
added_events_manually_edited_events,"['had_added_events_manually_edited_events_before_and_didnt_last_4_months', 'had_added_events_manually_edited_events_last_4_months']",4,"[('all', 33)]","[('can_cancel', 24)]",22.0,3732,4932,3732,0.7566909975669099,763,340,0.3082502266545784,1.0848350894588104,0.5186878353575664,0.6045412926676359,0.0139431878472473,0.6045412926676359,0.0139431878472473,0.6045412926676359,0.20699923243844742
added_food_edited_food,"['had_added_food_edited_food_before_and_didnt_last_4_months', 'had_added_food_edited_food_last_4_months']",4,"[('all', 18)]",,23.0,2325,4932,2325,0.47141119221411193,1620,795,0.32919254658385094,0.8372101622571282,0.05628303058724,,,0.8372101622571282,0.05628303058724,0.8372101622571282,0.05147840224221475
added_specials_edited_specials,"['had_added_specials_edited_specials_before_and_didnt_last_4_months', 'had_added_specials_edited_specials_last_4_months']",4,,"[('can_cancel', 24)]",24.0,3235,4932,3235,0.6559205190592052,694,862,0.5539845758354756,,,0.7408420575397182,0.1268207161179044,0.7408420575397182,0.1268207161179044,0.7408420575397182,0.07581682932068341
catering_submissions,"['had_catering_submissions_before_and_didnt_last_4_months', 'had_catering_submissions_last_4_months']",4,"[('all', 14)]","[('can_cancel', 14)]",14.0,3287,4932,3287,0.666463909164639,1390,168,0.10783055198973042,0.8269963913934283,0.032872265633869,0.7188726905352603,0.0252313984872514,0.7188726905352603,0.0252313984872514,0.7188726905352603,0.16715794341331364
changed_picture_or_text,"['had_changed_picture_or_text_before_and_didnt_last_4_months', 'had_changed_picture_or_text_last_4_months']",4,"[('all', 2)]","[('can_cancel', 27)]",2.0,3428,4932,3428,0.6950527169505272,646,746,0.5359195402298851,0.7915792475857603,0.0462287028327704,0.5387055767864459,0.0040909997029762,0.5387055767864459,0.0040909997029762,0.5387055767864459,0.14879530649496034
clicked_emails,"['had_clicked_emails_before_and_didnt_last_4_months', 'had_clicked_emails_last_4_months']",4,"[('all', 18)]","[('can_cancel', 19)]",19.0,4015,4932,4015,0.8140713706407137,239,655,0.732662192393736,0.7506663622330847,0.0029192664489068,1.122059568827897,0.4672216794112092,0.7506663622330847,0.0029192664489068,0.7506663622330847,0.054262992083060145
downloaded_qrcode_flyers,"['had_downloaded_qrcode_flyers_before_and_didnt_last_3_months', 'had_downloaded_qrcode_flyers_last_3_months']",3,"[('all', 14)]",,33.0,3850,4932,3850,0.7806163828061639,241,778,0.7634936211972522,1.3723164018571758,0.0955190951319005,,,1.3723164018571758,0.0955190951319005,1.3723164018571758,-0.06873733481196692
downloaded_regular_flyers,"['had_downloaded_regular_flyers_before_and_didnt_last_4_months', 'had_downloaded_regular_flyers_last_4_months']",4,,"[('can_cancel', 10)]",32.0,4596,4932,4596,0.9318734793187348,127,188,0.5968253968253968,,,0.5624669365394941,0.1797730410930604,0.5624669365394941,0.1797730410930604,0.5624669365394941,0.1643845497994243
emails_sent_manually_scheduled_emails_sent,"['had_emails_sent_manually_scheduled_emails_sent_before_and_didnt_last_3_months', 'had_emails_sent_manually_scheduled_emails_sent_last_3_months']",3,"[('all', 7)]","[('can_cancel', 5)]",25.0,2300,4932,2300,0.46634225466342255,1892,634,0.2509897070467142,0.9495975454523298,0.516395372628682,0.835789865300219,0.1844533745893467,0.835789865300219,0.1844533745893467,0.835789865300219,0.05735780343146337
feedback_submissions,"['had_feedback_submissions_before_and_didnt_last_2_months', 'had_feedback_submissions_last_2_months']",2,"[('all', 18)]",,,4663,4932,4663,0.9454582319545823,111,152,0.5779467680608364,0.586413944030209,0.0860405836225234,,,0.586413944030209,0.0860405836225234,0.586413944030209,0.16503477519942095
flyer_posts_on_facebook,"['had_flyer_posts_on_facebook_before_and_didnt_last_3_months', 'had_flyer_posts_on_facebook_last_3_months']",3,,"[('can_cancel', 26)]",6.0,4706,4932,4706,0.954176804541768,16,207,0.9282511210762332,,,0.3558626487707584,0.1478100115011086,0.3558626487707584,0.1478100115011086,0.3558626487707584,0.04409836193592224
incentive_downloads,"['had_incentive_downloads_before_and_didnt_last_2_months', 'had_incentive_downloads_last_2_months']",2,"[('all', 26)]","[('can_cancel', 26)]",,4860,4932,4860,0.9854014598540146,32,40,0.5555555555555556,0.6283612893542966,0.3665715372019192,0.6625917982309112,0.6027252523264434,0.6283612893542966,0.3665715372019192,0.6283612893542966,
number_of_requests_for_new_text_fragment_,"['had_number_of_requests_for_new_text_fragment_before_and_didnt_last_4_months\t', 'had_number_of_requests_for_new_text_fragment_last_4_months\t']",4,,"[('can_cancel', 19)]",,3886,4932,3886,0.7879156528791565,246,743,0.7512639029322548,,,1.6262025746379334,0.0473759575855569,1.6262025746379334,0.0473759575855569,1.6262025746379334,-0.12272509945995168
online_orders,"['had_online_orders_before_and_didnt_last_2_months', 'had_online_orders_last_2_months']",2,"[('all', 24)]","[('can_cancel', 21)]",15.0,4280,4932,4280,0.8678021086780211,434,213,0.32921174652241114,0.8801466334908481,0.35623428550965,0.905182349090642,0.6419454921079806,0.8801466334908481,0.35623428550965,0.8801466334908481,
opened_rewarding_stats_emails,"['had_opened_rewarding_stats_emails_before_and_didnt_last_3_months', 'had_opened_rewarding_stats_emails_last_3_months']",3,"[('all', 26)]",,20.0,4111,4932,4111,0.833536090835361,2,819,0.997563946406821,0.9043673430886464,0.4945974111554033,,,0.9043673430886464,0.4945974111554033,0.9043673430886464,
posts_disliked,"['had_posts_disliked_before_and_didnt_last_4_months', 'had_posts_disliked_last_4_months']",4,"[('all', 44)]","[('can_cancel', 3)]",3.0,3193,4932,3193,0.647404703974047,683,940,0.5791743684534812,1.244864596498993,0.0600749379503128,1.0584611787625238,0.7369642928757099,1.244864596498993,0.0600749379503128,1.244864596498993,-0.06671201094869741
posts_liked,"['had_posts_liked_before_and_didnt_last_4_months', 'had_posts_liked_last_4_months']",4,"[('all', 31)]","[('can_cancel', 4)]",4.0,3254,4932,3254,0.6597729115977291,852,710,0.45454545454545453,0.7890225648391529,0.0219911581726069,0.7575763131682327,0.1028348597140084,0.7890225648391529,0.0219911581726069,0.7890225648391529,0.075925743642269
posts_on_facebook,"['had_posts_on_facebook_before_and_didnt_last_2_months', 'had_posts_on_facebook_last_2_months']",2,"[('all', 8)]","[('can_cancel', 1)]",1.0,2311,4932,2311,0.46857258718572586,1396,1125,0.44625148750495836,0.933389158232664,0.4552093903929088,0.944309310227932,0.6996002526969163,0.933389158232664,0.4552093903929088,0.933389158232664,
