model_number,category,model_name,variable_name,spots_num,exp(coef),p,exp(coef).2,p.2
37,low_end_2000,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,1248,0.6147254258071863,0.10395322555570202,0.5753913388985079,0.05169928304104786
37,high_end_2000,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,1324,0.6412272644249207,0.1038503661468117,0.6778275862858313,0.12649527403384747
37,low_end_1700,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,1047,0.48567624935366166,0.03266061672155914,0.44644701203762044,0.009657471213386603
37,high_end_1700,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,1525,0.744177799871105,0.24229350272241415,,
37,low_end_1500,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,907,0.37941376625463374,0.00978070105831013,0.3679881666332985,0.003873677058229851
37,high_end_1500,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,1665,0.7553597384838204,0.24415183230093565,,
37,low_end_1200,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,698,0.3795581962486488,0.018016816955344205,0.3129405342334254,0.001471046362903146
37,high_end_1200,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,1874,0.6953743460699124,0.11704257168100242,0.6522949912022149,0.050787830628845385
37,low_end_1000,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,549,0.3003066025785195,0.015216013776177591,0.28765322157726003,0.005840248083526132
37,high_end_1000,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,2023,0.7049885938177516,0.11037303619741239,0.6750671166669877,0.05463438770199116
37,low_end_700,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,326,0.42935455093782043,0.22647384796875983,0.33413501388621275,0.050553240395989296
37,high_end_700,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,2246,0.6746362381376323,0.05986952488802322,0.625123538018893,0.018010334246310704
37,low_end_500,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,219,1.2120243173434895,0.843702955701897,,
37,high_end_500,properly_used_catering_inquiries,had_properly_used_catering_inquiries_last_4_months,2353,0.6308752624071576,0.025214815067036503,0.5783447374576967,0.004832506353038189
