model_number,category,model_name,variable_name,spots_num,exp(coef),p,exp(coef).2,p.2
39,low_end_2000,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,2530,0.6454760502820795,0.09230046330582556,0.6139743517191183,0.05624174843226778
39,high_end_2000,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,1847,0.9978396375941635,0.991731761367878,,
39,low_end_1700,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,2222,0.6338384979156463,0.11866565646094565,0.5852423565596612,0.06097093994465665
39,high_end_1700,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,2155,0.9789901869895065,0.913773221725065,,
39,low_end_1500,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,2005,0.5499504504400543,0.07591451878158009,0.5256410464874464,0.051568280380992586
39,high_end_1500,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,2372,0.9810286594056182,0.918524654546524,,
39,low_end_1200,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,1654,0.5143038311310115,0.09169515853806273,0.5152528005683327,0.08531796638857851
39,high_end_1200,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,2723,0.9303224759672444,0.6850628139856845,,
39,low_end_1000,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,1364,0.4299754597628765,0.08050069535894276,0.42527468919539335,0.06700858069325948
39,high_end_1000,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,3013,0.9163635991638828,0.6107050451215428,0.9143083328243984,0.5806216456551194
39,low_end_700,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,921,0.10664635415062874,0.015480906065263539,0.13698765882238495,0.03190570382085208
39,high_end_700,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,3456,0.8713147657653026,0.39307262431587275,0.876252149819274,0.39651358063925946
39,low_end_500,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,658,0.09209249646411773,0.2819753506529221,,
39,high_end_500,properly_used_job_listings_inquiries,had_properly_used_job_listings_inquiries_last_3_months,3719,0.8589480303196372,0.3386228597079614,,
