model_number,category,model_name,variable_name,spots_num,exp(coef),p,exp(coef).2,p.2
40,low_end_2000,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,2530,0.8429588401945516,0.4143544564916525,0.8139783780111786,0.31622394555727495
40,high_end_2000,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,1847,0.9708448377499507,0.916454837821373,1.0483699187273796,0.8603522742460223
40,low_end_1700,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,2222,0.8837481062977518,0.5809852872663739,0.8418717237508806,0.4304166497560583
40,high_end_1700,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,2155,0.8721794064655114,0.594639562563702,0.9166045130882465,0.7212229692433987
40,low_end_1500,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,2005,0.9067969141353461,0.6811812863734119,0.8742144222469179,0.560205192702935
40,high_end_1500,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,2372,0.9034517090204717,0.6750245517857035,0.835355836750305,0.4332780412486835
40,low_end_1200,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,1654,0.9308381714936194,0.7796747551563764,0.830049394557267,0.4465815375619556
40,high_end_1200,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,2723,0.8650099609338854,0.5204461964424478,0.8407760348178338,0.417915274827952
40,low_end_1000,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,1364,0.9673143929906767,0.9054710028333162,0.7895611792854393,0.32833230253728785
40,high_end_1000,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,3013,0.7889450804290268,0.2719552510890817,0.8444591960910516,0.4233301930776706
40,low_end_700,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,921,0.22875052741389437,0.0017440549108404223,0.4886179860401595,0.060767636503548196
40,high_end_700,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,3456,0.8256789109669092,0.31071359165363976,0.7837640770270685,0.184618049708624
40,low_end_500,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,658,0.7300083290097421,0.5011677265882477,0.5150596137936275,0.07256758117154957
40,high_end_500,properly_used_online_orders_inquiries,had_properly_used_online_orders_inquiries_last_2_months,3719,0.7974137294124252,0.21289772248695532,0.7489474961797208,0.10245341972263305
