model_number,category,model_name,variable_name,spots_num,exp(coef),p,exp(coef).2,p.2
38,low_end_2000,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,1248,0.6631084887752458,0.12444755301634776,0.6032754171800879,0.04574854817920939
38,high_end_2000,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,1324,0.7852893645185443,0.3147817503249276,,
38,low_end_1700,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,1047,0.6395277148821427,0.13985064082412194,0.5923446049911786,0.06312780115965332
38,high_end_1700,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,1525,0.792396224731113,0.2972601950901825,,
38,low_end_1500,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,907,0.6570617416899837,0.19186056007334612,,
38,high_end_1500,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,1665,0.7581010805442583,0.19950957668981073,,
38,low_end_1200,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,698,0.592318610106393,0.15348253222439187,,
38,high_end_1200,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,1874,0.7910104598899657,0.25347027093435326,,
38,low_end_1000,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,549,0.5724132437666399,0.2341216608495205,,
38,high_end_1000,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,2023,0.841144227535538,0.37354564751787367,,
38,low_end_700,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,326,0.3736822587209148,0.22552829074275957,0.2651254991325227,0.03999013681688451
38,high_end_700,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,2246,0.8407703843778762,0.3391316838377406,,
38,low_end_500,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,219,0.7862064377906518,0.8609296927710159,,
38,high_end_500,properly_used_private_parties_inquiries,had_properly_used_private_parties_inquiries_last_3_months,2353,0.817289258417513,0.2576408182612093,,
