model_number,category,model_name,variable_name,spots_num,exp(coef),p,exp(coef).2,p.2
36,low_end_2000,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,2530,0.7175992454448846,0.08553789649824,0.732663961490747,0.09838299044351521
36,high_end_2000,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,1847,1.001472232271482,0.9952627653915125,,
36,low_end_1700,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,2222,0.7088820033623143,0.09172268241064212,0.7589761194034643,0.16345443866162138
36,high_end_1700,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,2155,0.9823448074199251,0.9375532987796541,,
36,low_end_1500,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,2005,0.7293661392448427,0.14931254226374754,0.6895593683535266,0.06482484113862837
36,high_end_1500,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,2372,0.905629852942655,0.6387185201813593,,
36,low_end_1200,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,1654,0.777761887888918,0.3038307117302732,,
36,high_end_1200,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,2723,0.861060869242359,0.4364559914409678,,
36,low_end_1000,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,1364,0.8410928763921632,0.5204808565547537,,
36,high_end_1000,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,3013,0.8089780517819153,0.24338489565042198,,
36,low_end_700,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,921,0.5116314583740668,0.18762055262069433,,
36,high_end_700,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,3456,0.7732152087812424,0.11618395930214336,0.782065198410984,0.12255676347738875
36,low_end_500,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,658,2.0319549292937076,0.21044595749965472,,
36,high_end_500,properly_used_reservations_inquiries,had_properly_used_reservations_inquiries_last_2_months,3719,0.7976345347965115,0.14551421819528423,0.7945239086916064,0.128299949595472
